Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту,Количество (Факт/Паспорт),Сопредельное государство
Турий Рог,Владивостокский,45.262249,131.978153,ДФО,АПП,208794,2017,Число людей,установлен,да,0,0.0,Китайская Народная Республика
Убур-Тохтор,Читинский,50.4167,113.8333,ДФО,АПП,0,2017,Число людей,установлен,нет,0,0.0,Монголия
Убылинка,Псковский,56.87317,27.833766,СЗФО,АПП,254532,2017,Число людей,установлен,да,1460000,0.17,Латвийская Республика
Ушаково,Хабаровский,51.883,126.5631,ДФО,СПП,0,2017,Число людей,установлен,нет,0,0.0,Китайская Народная Республика
Хабаровск,Хабаровский,48.468957,135.057972,ДФО,РПП,121782,2017,Число людей,установлен,да,131040,0.93,Китайская Народная Республика
Хандагайты (Боршо),Новосибирский,50.700218,92.069395,СФО,АПП,71336,2017,Число людей,установлен,да,106145,0.67,Монголия
Хасан,Владивостокский,42.430155,130.644336,ДФО,ЖДПП,14408,2017,Число людей,установлен,да,0,0.0,Корейская Народно-Демократическая Республика
Цаган-Толгой,Новосибирский,49.957094,95.62729,СФО,АПП,15533,2017,Число людей,установлен,да,74750,0.21,Монголия
Черлак,Новосибирский,54.155114,74.804456,СФО,РПП,796,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Чернышевское,Калининградский,54.645721,22.736633,СЗФО,АПП,515298,2017,Число людей,установлен,да,1460000,0.35,Литовская Республика
Черняховск,Калининградский,54.629537,21.817797,СЗФО,ЖДПП,8775,2017,Число людей,установлен,да,0,0.0,Литовская Республика
Шара-Сур,Новосибирский,50.515325,94.337233,СФО,АПП,6591,2017,Число людей,установлен,да,49400,0.13,Монголия
Шебекино,Белгородский,50.352158,36.922684,ЦФО,АПП,794017,2017,Число людей,установлен,да,1752000,0.45,Украина
Шумилкино,Псковский,57.644615,27.387415,СЗФО,АПП,633619,2017,Число людей,установлен,да,1460000,0.43,Эстонская Республика
Эльтон,Волгоградский,49.130289,46.838265,ЮФО,ЖДПП,5617,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Яраг-Казмаляр,Северо-Кавказский,41.640607,48.40786,СКФО,АПП,1107002,2017,Число людей,установлен,да,0,0.0,Азербайджанская Республика
Абагайтуй,Читинский,49.5833,117.8167,ДФО,АПП,0,2018,Число людей,установлен,нет,0,0.0,Китайская Народная Республика
Адлер,Сочинский,43.397314,40.002072,ЮФО,АПП,10022500,2018,Число людей,установлен,да,10220000,0.98,Республика Абхазия
Адлер,Сочинский,43.40274645,39.99306761,ЮФО,ЖДПП,327887,2018,Число людей,установлен,да,799350,0.41,Республика Абхазия
Айнек-Гол,Читинский,50.3678,103.279,ДФО,АПП,0,2018,Число людей,установлен,нет,0,0.0,Монголия
Аксарайский,Волгоградский,46.7337,48.0892,ЮФО,ЖДПП,401587,2018,Число людей,установлен,да,0,0.0,Республика Казахстан
Алтан,Читинский,49.8833,109.0667,ДФО,АПП,0,2018,Число людей,установлен,нет,0,0.0,Монголия
Амурзет,Хабаровский,47.690284,131.073245,ДФО,СПП,18277,2018,Число людей,установлен,да,160640,0.11,Китайская Народная Республика
Аспайты,Новосибирский,50.3099,90.0221,СФО,АПП,0,2018,Число людей,установлен,нет,0,0.0,Монголия
Багратионовск,Калининградский,54.372517,20.659173,СЗФО,АПП,907898,2018,Число людей,установлен,да,0,0.0,Республика Польша
